wheel station sector hw_x sw_x1 sw_x2 sw_x3 sw_dx13
1 4 14 -7.20032 -7.85095 -7.20032 -6.37955 -1.47141
-2 2 7 3.49371 2.37686 -13.01880 4.41383 -2.03697
2 4 7 -5.08240 -3.88580 -5.08240 -6.73447 2.84866
2 1 4 -0.41241 -0.71823 -5.39673 -0.06393 -0.65430
1 3 8 -0.76872 0.03365 -3.07159 -1.94638 1.98003
1 4 12 -8.55685 -8.79909 -8.55685 -8.12769 -0.67140
2 2 12 -3.69987 -5.10987 -13.19641 -2.17289 -2.93698
-1 4 1 3.39851 3.39172 3.39851 3.63190 -0.24017
0 3 6 -7.79795 -8.16167 -10.43298 -7.41227 -0.74940
1 2 2 3.57435 4.46558 -2.34039 2.46233 2.00325
2 3 2 4.59626 4.09147 -5.43152 5.30458 -1.21311
1 1 1 -1.44672 -1.40511 -3.71582 -1.42143 0.01633
-1 2 4 -0.76387 -1.40041 -7.60040 -0.19911 -1.20131
1 4 10 -8.58643 -8.41507 -8.58643 -8.81149 0.39642
2 2 2 4.99518 6.46834 -6.00342 3.65242 2.81592
0 2 9 0.00841 0.04577 -13.11548 -0.26578 0.31155
0 3 4 1.51930 1.25843 -3.96830 1.96579 -0.70736
-2 3 9 1.98574 0.99025 -5.04578 3.35854 -2.36829
1 1 3 4.53877 4.66356 -0.28625 4.51874 0.14482
1 4 8 -4.67307 -4.35923 -4.67307 -4.32280 -0.03643
-1 1 2 -3.74154 -3.58501 -6.76666 -3.82949 0.24448
0 2 11 -4.43862 -4.90661 -1.32381 -3.94458 -0.96203
0 4 12 6.88576 7.81071 6.88576 5.61393 2.19678
2 3 3 6.47835 6.61234 -6.22742 6.37025 0.24209
1 1 5 -4.44711 -5.18885 -3.44574 -3.67417 -1.51468
2 1 1 -1.60583 -2.21668 -3.74756 -0.99678 -1.21990
1 4 6 -6.79293 -6.75357 -6.79293 -6.75917 0.00560
2 2 6 -4.11888 -5.15963 -5.36194 -3.06229 -2.09734

