wheel station sector sw_phiz sw_phiz1 sw_phiz2 sw_phiz3 sw_dphiz1 sw_dphiz2 sw_dphiz3 sw_db
2 3 1 0.25226 0.25184 -1.31214 0.34263 -0.00042 -1.56439 0.09037 -0.09079
0 1 9 -0.14465 -0.15283 -0.37112 -0.18313 -0.00818 -0.22647 -0.03848 0.03030
0 2 6 0.27285 0.18456 -0.34320 0.14479 -0.08829 -0.61604 -0.12805 0.03977
0 4 13 -0.26484 -0.23498 -0.26484 -0.28249 0.02987 0.00000 -0.01765 0.04751
-2 2 4 0.50345 0.39677 1.72597 0.47039 -0.10669 1.22251 -0.03307 -0.07362
-1 3 9 0.28813 0.26435 -0.31133 0.32766 -0.02377 -0.59946 0.03954 -0.06331
-2 1 2 -0.29848 -0.29231 2.94301 -0.23902 0.00617 3.24149 0.05946 -0.05329
-1 4 4 0.93922 0.94751 0.93922 0.77828 0.00829 0.00000 -0.16094 0.16923
0 4 3 0.27273 0.28058 0.27273 0.29808 0.00785 0.00000 0.02535 -0.01750
2 3 7 0.07017 0.07555 0.22763 0.15329 0.00538 0.15747 0.08313 -0.07775
-1 2 2 1.12216 1.23020 1.64340 0.94944 0.10804 0.52124 -0.17271 0.28075
-1 3 11 0.46084 0.46974 0.10334 0.45944 0.00890 -0.35750 -0.00140 0.01030
-2 2 1 0.49825 0.52154 4.82518 0.42609 0.02329 4.32692 -0.07216 0.09545
2 4 9 -0.67895 -0.66299 -0.67895 -0.69041 0.01596 0.00000 -0.01146 0.02742
-2 4 2 -0.71441 -0.66710 -0.71441 -0.77781 0.04731 0.00000 -0.06340 0.11071
2 3 9 -0.19613 -0.19441 -0.77682 -0.18716 0.00172 -0.58069 0.00897 -0.00725
-1 1 11 0.12905 0.12883 -0.46767 0.16691 -0.00022 -0.59671 0.03786 -0.03809
0 4 1 0.73908 0.73264 0.73908 0.71267 -0.00645 0.00000 -0.02642 0.01997
-1 3 6 0.25521 0.27396 -0.85024 0.35705 0.01875 -1.10545 0.10185 -0.08309
1 2 7 -0.26159 -0.34076 -0.26635 -0.35143 -0.07917 -0.00476 -0.08984 0.01067
-1 1 6 -0.47155 -0.46838 -0.06736 -0.42261 0.00316 0.40419 0.04894 -0.04577
0 2 4 -0.01523 0.12857 -0.33131 -0.14534 0.14380 -0.31608 -0.13011 0.27391
2 4 11 0.20336 0.20826 0.20336 0.18812 0.00489 0.00000 -0.01524 0.02014
-2 4 12 0.34202 0.35136 0.34202 0.42960 0.00934 0.00000 0.08757 -0.07823
2 3 11 0.51201 0.53467 1.91004 0.47100 0.02265 1.39802 -0.04102 0.06367
2 3 12 0.01963 -0.01553 0.36653 0.13101 -0.03516 0.34690 0.11138 -0.14654
0 4 7 -0.55682 -0.52002 -0.55682 -0.55564 0.03680 0.00000 0.00119 0.03561
0 2 8 -0.06537 -0.15766 0.17534 -0.08509 -0.09230 0.24070 -0.01972 -0.07258
-1 4 11 0.23122 0.23223 0.23122 0.24278 0.00101 0.00000 0.01156 -0.01055
-1 1 4 0.05785 0.07838 0.23583 -0.00888 0.02053 0.17798 -0.06672 0.08726
2 4 13 0.54188 0.54101 0.54188 0.55047 -0.00087 0.00000 0.00859 -0.00946
-2 4 14 1.00466 1.00748 1.00466 0.84470 0.00282 0.00000 -0.15996 0.16278
-1 4 7 -0.30920 -0.32350 -0.30920 -0.35583 -0.01431 0.00000 -0.04664 0.03233
0 3 10 0.29883 0.32930 0.18490 0.31449 0.03048 -0.11393 0.01566 0.01482
0 3 5 -0.38717 -0.36155 -0.88335 -0.35934 0.02562 -0.49618 0.02783 -0.00221
0 4 5 -0.32151 -0.30712 -0.32151 -0.32530 0.01439 0.00000 -0.00379 0.01818
1 3 2 0.62464 0.67467 0.37349 0.59098 0.05003 -0.25114 -0.03365 0.08368
-2 2 6 -0.42455 -0.42255 1.64491 -0.49532 0.00199 2.06945 -0.07077 0.07277
-2 1 10 1.07769 1.09548 1.13445 1.15420 0.01779 0.05676 0.07650 -0.05872
0 3 9 0.50900 0.43803 -0.54874 0.33728 -0.07097 -1.05774 -0.17172 0.10075
-2 4 8 -0.24243 -0.25749 -0.24243 -0.20334 -0.01506 0.00000 0.03909 -0.05415
0 1 3 0.27742 0.28978 0.83376 0.35954 0.01236 0.55634 0.08212 -0.06976
0 3 8 -0.10674 -0.09806 -0.39540 -0.08006 0.00868 -0.28866 0.02668 -0.01800
-1 1 8 0.05501 0.04889 0.08103 0.16199 -0.00611 0.02602 0.10698 -0.11310
-2 3 7 -0.27379 -0.27267 -2.02074 -0.29597 0.00112 -1.74695 -0.02218 0.02330
-2 1 8 1.27450 1.25457 0.59941 1.34345 -0.01993 -0.67509 0.06895 -0.08888
2 4 1 0.13486 0.16247 0.13486 0.11294 0.02761 0.00000 -0.02192 0.04952
-2 4 10 0.12881 0.10670 0.12881 0.11268 -0.02211 0.00000 -0.01613 -0.00598
0 1 5 0.15473 0.18135 0.04400 0.16990 0.02662 -0.11073 0.01517 0.01145
2 1 10 0.02798 0.01608 -1.59181 0.11728 -0.01189 -1.61978 0.08931 -0.10120
1 1 2 -0.41751 -0.41696 0.01338 -0.41200 0.00055 0.43089 0.00551 -0.00496
1 1 9 0.25798 0.26620 -0.08428 0.38244 0.00822 -0.34226 0.12447 -0.11625
-1 4 10 0.74740 0.72458 0.74740 0.69914 -0.02283 0.00000 -0.04826 0.02543
2 4 3 0.86628 0.84468 0.86628 0.91183 -0.02160 0.00000 0.04555 -0.06715
2 2 10 -0.10600 -0.19672 0.81025 -0.07913 -0.09072 0.91625 0.02687 -0.11759
-1 4 6 -0.90947 -0.88748 -0.90947 -0.88285 0.02199 0.00000 0.02662 -0.00464
0 3 12 0.39024 0.42122 0.06868 0.39007 0.03097 -0.32156 -0.00018 0.03115
1 2 1 0.35057 0.24929 1.52726 0.31899 -0.10128 1.17670 -0.03158 -0.06970
1 3 12 0.20865 0.22920 0.62905 0.22945 0.02055 0.42040 0.02080 -0.00025
1 1 11 0.02110 0.03575 0.43677 0.14943 0.01465 0.41568 0.12833 -0.11368
-1 2 5 0.88221 0.79777 0.42727 1.00950 -0.08444 -0.45494 0.12729 -0.21173
-2 1 12 0.05342 0.06355 -0.28594 0.09181 0.01012 -0.33936 0.03839 -0.02826
2 4 5 -0.20827 -0.20035 -0.20827 -0.23226 0.00793 0.00000 -0.02398 0.03191
2 2 8 0.04965 -0.01908 -0.70038 0.01743 -0.06873 -0.75003 -0.03221 -0.03652
0 3 2 1.28560 1.27715 1.20848 1.29036 -0.00845 -0.07712 0.00476 -0.01321
-1 1 9 0.14150 0.10762 -0.24171 0.06842 -0.03388 -0.38321 -0.07308 0.03919
-2 3 8 -0.15191 -0.13319 -1.55230 -0.21017 0.01872 -1.40038 -0.05826 0.07698
1 4 14 -1.00893 -1.06254 -1.00893 -0.95296 -0.05361 0.00000 0.05597 -0.10958
-2 2 7 -0.27646 -0.33598 1.51402 -0.47043 -0.05953 1.79047 -0.19397 0.13444
2 4 7 0.68783 0.70702 0.68783 0.66048 0.01919 0.00000 -0.02735 0.04654
2 1 4 0.63520 0.63975 -0.65455 0.73783 0.00455 -1.28975 0.10262 -0.09808
1 3 8 0.04760 0.07554 -0.42300 0.07808 0.02793 -0.47060 0.03047 -0.00254
1 4 12 -0.52986 -0.55315 -0.52986 -0.54305 -0.02329 0.00000 -0.01319 -0.01009
2 2 12 0.27685 0.19594 1.31715 0.31017 -0.08090 1.04030 0.03332 -0.11422
-1 4 1 0.38994 0.39007 0.38994 0.53342 0.00013 0.00000 0.14348 -0.14335
0 3 6 -0.10641 -0.11993 -0.70755 -0.19022 -0.01353 -0.60114 -0.08381 0.07029
1 2 2 0.84474 0.87264 1.30031 0.67351 0.02790 0.45558 -0.17123 0.19913
2 3 2 0.77766 0.76795 0.64589 0.88268 -0.00970 -0.13177 0.10503 -0.11473
1 1 1 1.04019 1.02464 0.97145 1.07464 -0.01555 -0.06874 0.03445 -0.05000
-1 2 4 0.13339 0.12890 0.22251 0.12041 -0.00448 0.08912 -0.01298 0.00849
