wheel station sector hw_phiz hw_phiz1 hw_phiz2 hw_phiz3 hw_dphiz1 hw_dphiz2 hw_dphiz3 hw_db
-2 3 1 0.26118 0.26118 0.03579 0.13132 0.00000 -0.02914 -0.12986 0.12986
1 4 3 -1.22786 -1.22786 -1.22786 -1.13173 -0.00000 0.00000 0.09614 -0.09614
2 4 12 -0.32194 -0.32194 -0.32194 -0.24862 0.00000 0.00000 0.07333 -0.07333
0 4 11 -0.34429 -0.34429 -0.34429 -0.30382 0.00000 0.00000 0.04047 -0.04047
-1 2 10 0.60657 0.60657 0.33248 0.57738 0.00000 0.31789 -0.02920 0.02920
-1 3 3 0.42118 0.42118 0.35596 0.36488 0.00000 0.32782 -0.05630 0.05630
-2 2 8 0.23395 0.23395 0.09813 0.08821 0.00000 0.02527 -0.14574 0.14574
1 4 1 0.02361 0.02361 0.02361 0.03669 0.00000 0.00000 0.01308 -0.01308
-1 4 5 -0.23518 -0.23518 -0.23518 -0.20743 0.00000 0.00000 0.02775 -0.02775
0 2 2 0.70253 0.70253 0.37475 0.47510 0.00000 0.26104 -0.22743 0.22743
0 4 9 -0.33167 -0.33167 -0.33167 -0.30836 0.00000 0.00000 0.02331 -0.02331
2 3 6 -1.01400 -1.01400 -1.05404 -0.96163 -0.00000 -1.02786 0.05237 -0.05237
-1 2 8 -0.33930 -0.33930 0.12128 -0.28715 0.00000 0.14735 0.05215 -0.05215
-2 3 5 0.26403 0.26403 0.03216 0.21663 0.00000 0.00846 -0.04739 0.04739
-2 4 4 0.43184 0.43184 0.43184 0.53102 0.00000 0.00000 0.09917 -0.09917
-1 1 10 -0.20492 -0.20492 -0.14442 -0.08529 0.00000 -0.08460 0.11964 -0.11964
-1 3 5 0.11707 0.11707 0.15202 0.17227 0.00000 0.17962 0.05520 -0.05520
-1 2 6 0.19145 0.19145 -0.15906 0.20985 0.00000 -0.14987 0.01839 -0.01839
-1 3 7 -0.17196 -0.17196 -0.34713 -0.16553 0.00000 -0.34391 0.00642 -0.00642
0 4 4 -0.57933 -0.57933 -0.57933 -0.54038 0.00000 0.00000 0.03895 -0.03895
-2 4 6 -0.00021 -0.00021 -0.00021 0.05161 0.00000 0.00000 0.05182 -0.05182
2 3 1 0.25226 0.25226 0.70366 0.34206 0.00000 0.74856 0.08980 -0.08980
0 1 9 -0.14465 -0.14465 -0.12276 -0.19144 0.00000 -0.14616 -0.04680 0.04680
0 2 6 0.27285 0.27285 -0.21029 0.05568 0.00000 -0.31887 -0.21717 0.21717
0 4 13 -0.26484 -0.26484 -0.26484 -0.24125 0.00000 0.00000 0.02359 -0.02359
-2 2 4 0.50345 0.50345 0.97580 0.36270 0.00000 0.90543 -0.14075 0.14075
-1 3 9 0.28813 0.28813 0.19385 0.29505 0.00000 0.19731 0.00692 -0.00692
-2 1 2 -0.29848 -0.29848 -0.25251 -0.23275 0.00000 -0.21965 0.06573 -0.06573
-1 4 4 0.93922 0.93922 0.93922 0.78973 0.00000 0.00000 -0.14949 0.14949
0 4 3 0.27273 0.27273 0.27273 0.30892 0.00000 0.00000 0.03619 -0.03619
2 3 7 0.07017 0.07017 -0.03070 0.16067 0.00000 0.01455 0.09050 -0.09050
-1 2 2 1.12216 1.12216 1.12841 1.05850 0.00000 1.09658 -0.06366 0.06366
-1 3 11 0.46084 0.46084 0.43832 0.47165 0.00000 0.44373 0.01081 -0.01081
-2 2 1 0.49825 0.49825 0.80716 0.44960 0.00000 0.78283 -0.04866 0.04866
2 4 9 -0.67895 -0.67895 -0.67895 -0.66837 0.00000 0.00000 0.01058 -0.01058
-2 4 2 -0.71441 -0.71441 -0.71441 -0.71249 0.00000 0.00000 0.00193 -0.00193
2 3 9 -0.19613 -0.19613 -0.24800 -0.18481 0.00000 -0.24233 0.01133 -0.01133
-1 1 11 0.12905 0.12905 0.11337 0.16669 0.00000 0.13219 0.03764 -0.03764
0 4 1 0.73908 0.73908 0.73908 0.70376 0.00000 0.00000 -0.03532 0.03532
-1 3 6 0.25521 0.25521 0.18891 0.38278 0.00000 0.25270 0.12757 -0.12757
1 2 7 -0.26159 -0.26159 -0.06744 -0.43134 0.00000 -0.15231 -0.16975 0.16975
-1 1 6 -0.47155 -0.47155 -0.27771 -0.41940 0.00000 -0.25164 0.05215 -0.05215
0 2 4 -0.01523 -0.01523 -0.22771 -0.00020 0.00000 -0.22019 0.01503 -0.01503
2 4 11 0.20336 0.20336 0.20336 0.19488 0.00000 0.00000 -0.00849 0.00849
-2 4 12 0.34202 0.34202 0.34202 0.44249 0.00000 0.00000 0.10047 -0.10047
2 3 11 0.51201 0.51201 0.44728 0.50207 0.00000 0.44231 -0.00994 0.00994
2 3 12 0.01963 0.01963 0.02004 0.08277 0.00000 0.05161 0.06314 -0.06314
0 4 7 -0.55682 -0.55682 -0.55682 -0.50482 0.00000 0.00000 0.05200 -0.05200
0 2 8 -0.06537 -0.06537 0.41395 -0.17825 0.00000 0.35751 -0.11289 0.11289
-1 4 11 0.23122 0.23122 0.23122 0.24418 0.00000 0.00000 0.01296 -0.01296
-1 1 4 0.05785 0.05785 0.09167 0.01199 0.00000 0.06874 -0.04586 0.04586
2 4 13 0.54188 0.54188 0.54188 0.54927 0.00000 0.00000 0.00739 -0.00739
-2 4 14 1.00466 1.00466 1.00466 0.84859 0.00000 0.00000 -0.15606 0.15606
-1 4 7 -0.30920 -0.30920 -0.30920 -0.37559 0.00000 0.00000 -0.06639 0.06639
0 3 10 0.29883 0.29883 0.28844 0.35630 0.00000 0.31718 0.05747 -0.05747
0 3 5 -0.38717 -0.38717 -0.52968 -0.32420 0.00000 -0.49820 0.06297 -0.06297
0 4 5 -0.32151 -0.32151 -0.32151 -0.30543 0.00000 0.00000 0.01607 -0.01607
1 3 2 0.62464 0.62464 0.58272 0.65962 0.00000 0.60022 0.03498 -0.03498
-2 2 6 -0.42455 -0.42455 0.17637 -0.49331 0.00000 0.14199 -0.06876 0.06876
-2 1 10 1.07769 1.07769 1.07088 1.17227 0.00000 1.11817 0.09458 -0.09458
0 3 9 0.50900 0.50900 0.12118 0.23991 0.00000 -0.01336 -0.26909 0.26909
-2 4 8 -0.24243 -0.24243 -0.24243 -0.22414 0.00000 0.00000 0.01830 -0.01830
0 1 3 0.27742 0.27742 0.37992 0.37209 0.00000 0.42726 0.09467 -0.09467
0 3 8 -0.10674 -0.10674 -0.21089 -0.06815 0.00000 -0.19159 0.03859 -0.03859
-1 1 8 0.05501 0.05501 0.12409 0.15578 0.00000 0.17448 0.10077 -0.10077
-2 3 7 -0.27379 -0.27379 -0.40274 -0.29444 0.00000 -0.41307 -0.02065 0.02065
-2 1 8 1.27450 1.27450 1.38997 1.32320 0.00000 1.41432 0.04870 -0.04870
2 4 1 0.13486 0.13486 0.13486 0.15106 0.00000 0.00000 0.01620 -0.01620
