label wheel station sector db edb dai edai dphizsl2 edphizsl2 x_100011 ex_100011 phiy_100011 ephiy_100011 phiz_100011 ephiz_100011 y_010001 ey_010001 phiz_010001 ephiz_010001 phiy_000011 ephiy_000011 phiz_000011 ephiz_000011 x_100111 ex_100111 phix_100111 ephix_100111 phiy_100111 ephiy_100111 phiz_100111 ephiz_100111 y_010011 ey_010011 phiy_010011 ephiy_010011 phiz_010011 ephiz_010011 y_010111 ey_010111 phix_010111 ephix_010111 phiy_010111 ephiy_010111 phiz_010111 ephiz_010111
MB+1_1_01 1 1 1    0.00382375 0.00630321  0.170972 0.0920548   -0.287216 0.080586    0.135806 0.040889  0.692713 0.380099  -0.0892928 0.050807  -0.596766 0.0352062  -0.376509 0.062552    1.37658 0.0615531  -0.0190068 0.104128    0.139662 0.0409684  0.555331 0.369415  0.75681 0.382475  -0.134017 0.0588773    -0.595805 0.0352087  1.59411 0.435605  0.156373 0.264973    -0.595406 0.0352082  -0.209542 0.0974645  1.51839 0.43701  0.113372 0.265714
MB+1_1_02 1 1 2    3.21445e-05 0.00651019  0.380165 0.100617   -1.44348 0.0860707    0.26388 0.0441077  -2.0783 0.416563  0.122213 0.0527247  -0.56779 0.0381281  -1.32127 0.0680314    -0.460948 0.0647914  0.122808 0.108267    0.268614 0.0441881  0.690915 0.390674  -2.01196 0.418221  0.068991 0.060725    -0.568089 0.0381241  -0.355297 0.468992  -0.293855 0.287828    -0.573573 0.0381999  0.225356 0.100186  -0.279708 0.470177  -0.248469 0.288523
MB+1_1_03 1 1 3    -0.00142023 0.00568987  0.0189414 0.0852585   -0.382035 0.0756907    0.417403 0.0375324  0.00197148 0.352408  -0.284086 0.0459234  1.36875 0.0325771  -0.666121 0.0601675    0.098799 0.0566391  -0.310125 0.0936704    0.421075 0.037574  0.712989 0.344763  0.0574405 0.353411  -0.345362 0.0546707    1.3686 0.0325759  1.05275 0.415886  -0.0334108 0.257512    1.3437 0.0327188  0.674809 0.0859559  1.09927 0.415783  -0.00578064 0.257446
MB+1_1_04 1 1 4    -0.00931558 0.00781116  0.322477 0.0974735   -1.01549 0.0924704    0.932801 0.0423689  -1.86259 0.394939  -0.13751 0.063661  0.80531 0.037153  -1.153 0.0670675    -0.376068 0.0829697  -0.308364 0.12834    0.936883 0.0424155  0.963323 0.475216  -1.79415 0.396368  -0.220213 0.0756108    0.806369 0.0371509  0.157013 0.566928  0.164215 0.375796    0.796594 0.0371647  0.777192 0.112009  0.319037 0.567215  0.266551 0.375957
MB+1_1_05 1 1 5    -0.0083126 0.00579124  0.203776 0.0849449   -0.903199 0.0755931    1.79115 0.0375858  -1.51973 0.35066  0.0122416 0.0466583  -0.608358 0.0328049  -0.890957 0.0594754    -0.557647 0.0576227  -0.140171 0.0953831    1.79562 0.0376282  0.853464 0.349425  -1.44719 0.351888  -0.0618775 0.0556736    -0.607415 0.0328029  0.0715856 0.411203  0.0666564 0.254521    -0.613799 0.0329451  0.180637 0.0867121  0.112613 0.411666  0.090701 0.254777
MB+1_1_06 1 1 6    -0.0112348 0.00547672  -0.265278 0.0848382   0.0584895 0.0721375    2.64049 0.0360495  -0.7092 0.351358  -0.214491 0.0442336  -0.656727 0.031192  -0.156001 0.0569843    -1.70972 0.0544592  -0.420753 0.0902958    2.64872 0.0362002  1.5617 0.332906  -0.570417 0.353353  -0.343334 0.0520858    -0.65713 0.0311916  -1.58892 0.393608  -0.684328 0.243186    -0.661599 0.0313156  0.132233 0.0825474  -1.53939 0.394831  -0.655083 0.243875
MB+1_1_07 1 1 7    -0.0024639 0.00573946  -0.497811 0.105588   1.37346 0.0783537    2.10256 0.0378248  2.30725 0.440762  -0.269836 0.0459852  -0.723757 0.033079  1.10362 0.0634403    0.217048 0.0575207  -0.315122 0.0949377    2.10278 0.0378504  0.0600614 0.367281  2.31203 0.441718  -0.274161 0.0528437    -0.724517 0.0330743  0.0990262 0.433338  -0.2241 0.268162    -0.739989 0.0332236  0.422846 0.0872427  0.443995 0.439087  -0.0183424 0.271466
MB+1_1_08 1 1 8    -0.000791552 0.00562129  -0.17015 0.0838461   0.345849 0.0731026    1.50627 0.0366622  0.00424171 0.346405  -0.338577 0.0453457  -0.121006 0.031777  0.00727198 0.057339    -0.71076 0.0563981  -0.353114 0.0927508    1.50791 0.0366915  0.374193 0.339889  0.0271885 0.347025  -0.368494 0.0528584    -0.12085 0.0317765  -0.712598 0.402203  -0.427044 0.250309    -0.117231 0.0320138  -0.078181 0.0840552  -0.731795 0.402719  -0.438762 0.250618
MB+1_1_09 1 1 9    -0.00314173 0.00549875  -0.0161545 0.0830011   0.184752 0.0719882    1.35994 0.0365834  0.33158 0.343257  -0.190863 0.0442349  0.371002 0.0315059  -0.00611128 0.0567942    0.29867 0.0546726  -0.248449 0.090564    1.36193 0.0366306  0.352254 0.329169  0.357087 0.344096  -0.21953 0.0516827    0.370693 0.0315069  0.758462 0.389861  0.250501 0.241141    0.365869 0.0316528  0.131187 0.0826264  0.790491 0.390372  0.270541 0.241466
MB+1_1_10 1 1 10    -0.0013399 0.00548464  -0.102464 0.082255   0.0950052 0.071964    0.442167 0.0359752  -0.431604 0.340018  -0.368958 0.0439751  -0.65709 0.0314427  -0.273952 0.056965    -0.852329 0.0546342  -0.393501 0.090328    0.445804 0.0360143  0.713083 0.328547  -0.381617 0.340783  -0.426669 0.051383    -0.657005 0.0314436  -0.570369 0.392669  -0.357634 0.243551    -0.66972 0.0315911  0.342127 0.0828537  -0.469604 0.393393  -0.295476 0.243995
