wheel station sector sw_phiz sw_phiz1 sw_phiz2 sw_phiz3 sw_dphiz1 sw_dphiz2 sw_dphiz3 sw_db
0 4 13 -0.26484 -0.23498 -0.26484 -0.28249 0.02987 0.00000 -0.01765 0.04751
-2 2 4 0.50345 0.39677 0.97580 0.47039 -0.10669 0.47235 -0.03307 -0.07362
-1 3 9 0.28813 0.26435 0.19385 0.32766 -0.02377 -0.09428 0.03954 -0.06331
-2 1 2 -0.29848 -0.29231 -0.25251 -0.23902 0.00617 0.04597 0.05946 -0.05329
-1 4 4 0.93922 0.94751 0.93922 0.77828 0.00829 0.00000 -0.16094 0.16923
0 4 3 0.27273 0.28058 0.27273 0.29808 0.00785 0.00000 0.02535 -0.01750
2 3 7 0.07017 0.07555 -0.03070 0.15329 0.00538 -0.10087 0.08313 -0.07775
-1 2 2 1.12216 1.23020 1.12841 0.94944 0.10804 0.00625 -0.17271 0.28075
-1 3 11 0.46084 0.46974 0.43832 0.45944 0.00890 -0.02252 -0.00140 0.01030
-2 2 1 0.49825 0.52154 0.80716 0.42609 0.02329 0.30890 -0.07216 0.09545
2 4 9 -0.67895 -0.66299 -0.67895 -0.69041 0.01596 0.00000 -0.01146 0.02742
-2 4 2 -0.71441 -0.66710 -0.71441 -0.77781 0.04731 0.00000 -0.06340 0.11071
2 3 9 -0.19613 -0.19441 -0.24800 -0.18716 0.00172 -0.05186 0.00897 -0.00725
-1 1 11 0.12905 0.12883 0.11337 0.16691 -0.00022 -0.01568 0.03786 -0.03809
0 4 1 0.73908 0.73264 0.73908 0.71267 -0.00645 0.00000 -0.02642 0.01997
-1 3 6 0.25521 0.27396 0.18891 0.35705 0.01875 -0.06630 0.10185 -0.08309
1 2 7 -0.26159 -0.34076 -0.06744 -0.35143 -0.07917 0.19416 -0.08984 0.01067
-1 1 6 -0.47155 -0.46838 -0.27771 -0.42261 0.00316 0.19384 0.04894 -0.04577
0 2 4 -0.01523 0.12857 -0.22771 -0.14534 0.14380 -0.21248 -0.13011 0.27391
2 4 11 0.20336 0.20826 0.20336 0.18812 0.00489 0.00000 -0.01524 0.02014
-2 4 12 0.34202 0.35136 0.34202 0.42960 0.00934 0.00000 0.08757 -0.07823
2 3 11 0.51201 0.53467 0.44728 0.47100 0.02265 -0.06473 -0.04102 0.06367
2 3 12 0.01963 -0.01553 0.02004 0.13101 -0.03516 0.00041 0.11138 -0.14654
0 4 7 -0.55682 -0.52002 -0.55682 -0.55564 0.03680 0.00000 0.00119 0.03561
0 2 8 -0.06537 -0.15766 0.41395 -0.08509 -0.09230 0.47931 -0.01972 -0.07258
-1 4 11 0.23122 0.23223 0.23122 0.24278 0.00101 0.00000 0.01156 -0.01055
-1 1 4 0.05785 0.07838 0.09167 -0.00888 0.02053 0.03382 -0.06672 0.08726
2 4 13 0.54188 0.54101 0.54188 0.55047 -0.00087 0.00000 0.00859 -0.00946
-2 4 14 1.00466 1.00748 1.00466 0.84470 0.00282 0.00000 -0.15996 0.16278
-1 4 7 -0.30920 -0.32350 -0.30920 -0.35583 -0.01431 0.00000 -0.04664 0.03233
0 3 10 0.29883 0.32930 0.28844 0.31449 0.03048 -0.01038 0.01566 0.01482
0 3 5 -0.38717 -0.36155 -0.52968 -0.35934 0.02562 -0.14252 0.02783 -0.00221
0 4 5 -0.32151 -0.30712 -0.32151 -0.32530 0.01439 0.00000 -0.00379 0.01818
1 3 2 0.62464 0.67467 0.58272 0.59098 0.05003 -0.04191 -0.03365 0.08368
-2 2 6 -0.42455 -0.42255 0.17637 -0.49532 0.00199 0.60092 -0.07077 0.07277
-2 1 10 1.07769 1.09548 1.07088 1.15420 0.01779 -0.00681 0.07650 -0.05872
0 3 9 0.50900 0.43803 0.12118 0.33728 -0.07097 -0.38782 -0.17172 0.10075
-2 4 8 -0.24243 -0.25749 -0.24243 -0.20334 -0.01506 0.00000 0.03909 -0.05415
0 1 3 0.27742 0.28978 0.37992 0.35954 0.01236 0.10250 0.08212 -0.06976
0 3 8 -0.10674 -0.09806 -0.21089 -0.08006 0.00868 -0.10415 0.02668 -0.01800
-1 1 8 0.05501 0.04889 0.12409 0.16199 -0.00611 0.06909 0.10698 -0.11310
-2 3 7 -0.27379 -0.27267 -0.40274 -0.29597 0.00112 -0.12896 -0.02218 0.02330
-2 1 8 1.27450 1.25457 1.38997 1.34345 -0.01993 0.11547 0.06895 -0.08888
2 4 1 0.13486 0.16247 0.13486 0.11294 0.02761 0.00000 -0.02192 0.04952
-2 4 10 0.12881 0.10670 0.12881 0.11268 -0.02211 0.00000 -0.01613 -0.00598
0 1 5 0.15473 0.18135 0.20345 0.16990 0.02662 0.04872 0.01517 0.01145
2 1 10 0.02798 0.01608 0.11697 0.11728 -0.01189 0.08900 0.08931 -0.10120
1 1 2 -0.41751 -0.41696 -0.32781 -0.41200 0.00055 0.08970 0.00551 -0.00496
1 1 9 0.25798 0.26620 0.34487 0.38244 0.00822 0.08689 0.12447 -0.11625
-1 4 10 0.74740 0.72458 0.74740 0.69914 -0.02283 0.00000 -0.04826 0.02543
2 4 3 0.86628 0.84468 0.86628 0.91183 -0.02160 0.00000 0.04555 -0.06715
2 2 10 -0.10600 -0.19672 0.00401 -0.07913 -0.09072 0.11001 0.02687 -0.11759
-1 4 6 -0.90947 -0.88748 -0.90947 -0.88285 0.02199 0.00000 0.02662 -0.00464
0 3 12 0.39024 0.42122 0.28242 0.39007 0.03097 -0.10782 -0.00018 0.03115
1 2 1 0.35057 0.24929 1.27881 0.31899 -0.10128 0.92824 -0.03158 -0.06970
