ch_phix ch_phiy ch_phiz ch_x ch_y ch_z sector sl1_phix sl1_phiy sl1_phiz sl1_x sl1_y sl1_z sl2_phix sl2_phiy sl2_phiz sl2_x sl2_y sl2_z sl3_phix sl3_phiy sl3_phiz sl3_x sl3_y sl3_z station wheel
-0.94474 -3.19483 0.09056 1.44835 7.52258 2.34795 9 -0.94476 -6.47253 0.09366 1.07287 7.63672 2.45571 2.87973 -0.84474 0.87834 -6.24298 3.22075 1.08531 -0.91386 -5.66456 0.04293 1.69571 4.91486 0.84652 2 -1 
-0.31633 -0.55210 0.60657 4.47760 4.78119 4.92218 10 -0.31633 -2.71269 0.60726 4.41271 4.83887 4.94110 0.65421 -0.50407 0.33248 -2.14539 3.80737 4.24683 -0.52062 -2.19764 0.57824 4.19031 2.70996 3.83911 2 -1 
-0.88472 1.22257 0.12612 7.65501 4.27551 0.95815 11 -0.88472 -2.35089 0.12928 7.79867 4.38354 0.91644 -1.00623 -0.82820 0.97030 -3.52814 9.35544 0.70056 -1.03369 -1.66382 0.03745 7.36290 2.99103 0.01854 2 -1 
-0.17641 2.52754 0.09422 5.29562 3.81439 -5.16410 12 -0.17641 -0.84487 0.09482 5.59258 3.83850 -5.25060 -2.45685 -0.15778 0.62578 -3.71918 6.22672 -5.85213 -0.04316 -1.56782 0.05944 4.90438 3.41736 -6.58423 2 -1 
-0.14433 -1.41114 0.28751 0.33180 7.94373 -9.06738 1 -0.14433 -5.01501 0.28803 0.19140 7.95380 -9.08875 1.51621 -0.23481 0.19803 -7.68402 0.33848 -9.61792 -0.27142 -8.88176 0.27248 0.43568 8.35358 -9.70764 3 -1 
-0.14773 -1.53757 1.50266 -1.11529 7.21771 -4.13938 2 -0.14773 -2.82108 1.50284 -1.26874 7.20978 -4.16285 1.53948 -0.18511 1.39015 -7.30560 -1.02697 -5.04597 -0.27350 -1.06233 1.49202 -0.81191 7.64893 -5.27162 3 -1 
0.20450 -1.68101 0.42118 -1.11462 6.43707 2.67032 3 0.20450 -1.76066 0.42117 -1.28181 6.41022 2.64497 1.75033 0.28396 0.35596 -6.12091 -1.12278 1.69020 0.21549 -1.09272 0.36503 -0.86859 6.22162 1.50994 3 -1 
0.06688 -0.93344 0.67178 1.52596 10.07233 5.82275 4 0.06688 0.47048 0.67187 1.43309 10.05554 5.80872 0.57836 0.08597 0.70322 -9.86877 1.71253 4.39026 -0.14679 -0.37471 0.76215 1.55304 8.93951 4.29260 3 -1 
-0.07093 1.14254 0.11707 5.24802 8.23761 4.51465 5 -0.07093 -0.93779 0.11722 5.36143 8.24280 4.53163 -1.21336 -0.11627 0.15202 -8.18573 5.20610 3.96658 -0.07218 -3.72638 0.17262 5.04596 8.37006 3.92724 3 -1 
-0.40879 1.07215 0.25521 10.55868 6.42334 1.10697 6 -0.40879 0.25743 0.25554 10.66547 6.46027 1.12281 -1.04157 -0.45257 0.18891 -6.68610 10.42664 -0.16456 -0.48760 -1.08713 0.38387 10.31324 6.33911 -0.36183 3 -1 
-0.23477 -1.41789 -0.17196 7.44745 5.41687 -6.21033 7 -0.23477 -3.80543 -0.17140 7.30640 5.44281 -6.23169 1.52882 -0.27810 -0.34713 -5.33539 7.35935 -6.97021 -0.23789 -3.18750 -0.16512 7.68213 5.62714 -7.12280 3 -1 
-0.13037 -2.59892 -0.82397 4.78693 6.26038 -2.87579 8 -0.13037 -2.71844 -0.82395 4.52811 6.28601 -2.91454 2.50729 -0.13539 -0.86806 -6.17889 4.96782 -3.69346 -0.26463 0.07409 -0.79602 5.12696 6.45844 -3.59787 3 -1 
-0.48734 -2.36642 0.28813 4.32473 4.17694 3.23689 9 -0.48734 -0.82099 0.28738 4.08925 4.22119 3.20102 2.41005 -0.43290 0.19385 -4.43268 4.50557 2.36519 -0.36889 0.17932 0.29404 4.55612 4.08630 2.67558 3 -1 
-0.49378 0.24270 0.78079 5.42452 4.65515 5.58594 10 -0.49378 -0.67619 0.78124 5.44863 4.69269 5.58960 -0.27352 -0.56240 0.71636 -4.52606 5.26489 4.62219 -0.54067 -0.67031 0.81675 5.42757 4.75983 4.65515 3 -1 
-0.27556 1.35204 0.46084 6.87780 5.35553 2.23252 11 -0.27556 0.68125 0.46102 7.01188 5.37598 2.25236 -1.41616 -0.28196 0.43832 -5.06836 6.76693 1.19637 -0.30045 -0.36740 0.47216 6.83203 5.20691 1.28776 3 -1 
-0.35745 1.90167 -0.14179 5.30019 4.12140 -5.16957 12 -0.35745 0.41637 -0.14126 5.48906 4.15924 -5.14087 -1.99915 -0.38836 -0.19403 -3.89893 5.01691 -6.15841 -0.42943 -0.58515 -0.04371 4.91933 4.06372 -6.04983 3 -1 
-0.94310 0.00365 0.38994 3.39851 7.76672 -8.49426 1 -0.94311 -3.55364 0.39329 3.39882 7.87689 -8.49426 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 -0.95334 -2.72734 0.53619 3.62206 6.93359 -10.16235 4 -1 
-0.88257 -1.45133 0.53437 2.38403 5.74097 -5.65651 2 -0.88258 -5.22089 0.53770 2.23921 5.85114 -5.59545 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 -0.94130 -4.37770 0.51156 2.24798 4.65454 -7.54498 4 -1 
-0.19824 -1.68156 1.14266 2.24423 8.89282 -0.22379 3 -0.19825 -10.89833 1.14449 2.07649 8.96057 -0.15360 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 -0.41127 -11.57149 1.15704 2.46645 8.88794 -2.68694 4 -1 
0.34577 -0.86325 0.93922 5.11246 8.61877 2.26318 4 0.34577 -3.78182 0.93821 5.02655 8.58429 2.26318 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.35099 -4.10052 0.78864 5.20416 8.83545 1.45996 4 -1 
