label wheel station sector db edb dai edai dphizsl2 edphizsl2 x_100011 ex_100011 phiy_100011 ephiy_100011 phiz_100011 ephiz_100011 y_010001 ey_010001 phiz_010001 ephiz_010001 phiy_000011 ephiy_000011 phiz_000011 ephiz_000011 x_100111 ex_100111 phix_100111 ephix_100111 phiy_100111 ephiy_100111 phiz_100111 ephiz_100111 y_010011 ey_010011 phiy_010011 ephiy_010011 phiz_010011 ephiz_010011 y_010111 ey_010111 phix_010111 ephix_010111 phiy_010111 ephiy_010111 phiz_010111 ephiz_010111
MB+0_1_08 0 1 8    -0.0335063 0.00580988  -0.175756 0.128485   0.287452 0.0829068    -0.39354 0.0350153  1.47702 0.546555  -0.302844 0.0447498  0.360571 0.0362016  -0.015391 0.0697925    0.729488 0.0144697  -0.918967 0.0970097    -0.393477 0.0350153  0.124569 0.439695  1.47808 0.546565  -0.301333 0.0450687    0.360723 0.0362011  0.88636 0.371111  -0.0158071 0.0697918    0.464304 0.0481178  -1.06928 0.327258  0.898003 0.371098  -0.0179097 0.0697896
MB+0_1_09 0 1 9    0.015987 0.00519684  -0.127126 0.0788332   0.225995 0.062021    0.0462704 0.0340245  0.943161 0.335216  -0.231972 0.0400879  0.374897 0.0258644  -0.00597715 0.047324    0.402517 0.0128065  0.0619914 0.0867422    0.0442665 0.0340517  0.446361 0.304178  0.924619 0.33545  -0.198257 0.0461929    0.372735 0.0258673  -0.323469 0.313003  0.0128947 0.0475483    0.381111 0.0383728  -0.0858415 0.289959  -0.325835 0.313126  0.012909 0.0475487
MB+0_1_10 0 1 10    -0.00358712 0.0055398  0.0518712 0.0849572   0.166976 0.0671536    -0.295306 0.0366786  -0.405189 0.361251  0.0323308 0.0428552  -1.30122 0.0281658  0.199307 0.0517014    -0.184631 0.0139322  -0.0339076 0.0928863    -0.295131 0.0366801  -0.169112 0.325218  -0.412479 0.361523  0.0454006 0.0496852    -1.2994 0.0282093  -0.0167187 0.33476  0.197827 0.0517167    -1.34256 0.0420513  0.4258 0.307588  5.71224e-05 0.334976  0.198408 0.0517179
MB+0_1_11 0 1 11    -0.0137073 0.00792468  -1.05784 0.374261   0.203197 0.150555    0.278594 0.042948  5.44317 1.59248  -0.230175 0.0605783  -1.84961 0.042326  -0.0269782 0.137829    0.941104 0.0198541  -0.481765 0.132238    0.27863 0.0429484  0.171293 0.813395  5.44147 1.5925  -0.241666 0.0815558    -1.85075 0.0423114  0.925876 0.837798  -0.0784602 0.138109    -1.75907 0.0603299  -0.941378 0.441504  0.884671 0.837969  -0.0695015 0.138165
MB+0_1_12 0 1 12    -0.0028743 0.00523294  -0.087206 0.0737978   0.0618894 0.0611278    0.111062 0.0332438  -0.29337 0.313781  -0.323911 0.040486  1.31263 0.025389  -0.262022 0.0457984    -0.664572 0.0125838  -0.376748 0.0872598    0.110204 0.0332466  -0.549865 0.304006  -0.301937 0.313811  -0.369815 0.0477824    1.31228 0.0253886  0.484051 0.30887  -0.259875 0.0458049    1.36167 0.0371289  -0.527345 0.289345  0.4866 0.308868  -0.26092 0.0458076
MB+1_1_01 1 1 1    0.0312349 0.0062983  0.168588 0.0919668   -0.327326 0.0804902    0.138132 0.040901  0.689877 0.379733  -0.0630192 0.050767  -0.601769 0.0351668  -0.390345 0.062461    1.05053 0.0614948  0.511158 0.104055    0.14121 0.0409774  0.448962 0.368785  0.742196 0.382109  -0.0991292 0.058823    -0.600784 0.0351703  1.50223 0.434474  0.089955 0.264337    -0.600408 0.0351692  -0.237172 0.0973761  1.41648 0.435882  0.0416591 0.265069
MB+1_1_02 1 1 2    -0.00112607 0.00651783  0.344284 0.100698   -1.33508 0.0861699    0.264124 0.0441361  -1.90733 0.416894  0.0989332 0.0527947  -0.564888 0.0381453  -1.23614 0.0681026    -0.429353 0.0648394  0.0781052 0.108381    0.269016 0.0442173  0.709921 0.3915  -1.83803 0.418613  0.0442026 0.0608413    -0.565011 0.0381419  -0.314516 0.469689  -0.286411 0.288223    -0.57087 0.0382137  0.24689 0.100302  -0.231596 0.470875  -0.236845 0.288911
MB+1_1_03 1 1 3    -0.00200196 0.00569872  0.0551817 0.0853829   -0.483857 0.0757698    0.404211 0.0375615  -0.160414 0.352917  -0.267526 0.0459984  1.36741 0.0325715  -0.751383 0.0602097    0.0972744 0.0567491  -0.304232 0.0938177    0.407787 0.0376019  0.7031 0.345955  -0.105664 0.353932  -0.328028 0.0547924    1.36731 0.03257  1.04438 0.416636  -0.0255657 0.25809    1.34315 0.0327184  0.644418 0.085925  1.08979 0.416547  0.00109023 0.258032
MB+1_1_04 1 1 4    -0.0402882 0.00780154  0.296429 0.0974143   -0.986675 0.0923169    0.94209 0.0424122  -1.77683 0.394727  -0.114921 0.063599  0.791404 0.0371024  -1.1016 0.0669147    -0.0211426 0.0828465  -0.853929 0.128195    0.946342 0.0424592  0.995377 0.474527  -1.70505 0.396194  -0.200654 0.0755986    0.792677 0.0371005  0.298714 0.565146  0.251885 0.374565    0.782716 0.0371105  0.826236 0.11177  0.462976 0.565363  0.354812 0.374679
MB+1_1_05 1 1 5    -0.0444053 0.00579108  0.222386 0.0850249   -0.959144 0.0756144    1.77441 0.0376055  -1.60397 0.351015  0.0208279 0.0466998  -0.619133 0.0327911  -0.938316 0.0594699    -0.150476 0.0576111  -0.793232 0.0953422    1.7776 0.0376472  0.619535 0.350136  -1.55121 0.352253  -0.0329398 0.0557366    -0.618091 0.0327894  0.0178977 0.411427  0.0380823 0.254751    -0.624942 0.0329337  0.192407 0.0866447  0.0628422 0.411911  0.0643577 0.255017
