label wheel station sector db edb dai edai dphizsl2 edphizsl2 x_100011 ex_100011 phiy_100011 ephiy_100011 phiz_100011 ephiz_100011 y_010001 ey_010001 phiz_010001 ephiz_010001 phiy_000011 ephiy_000011 phiz_000011 ephiz_000011 x_100111 ex_100111 phix_100111 ephix_100111 phiy_100111 ephiy_100111 phiz_100111 ephiz_100111 y_010011 ey_010011 phiy_010011 ephiy_010011 phiz_010011 ephiz_010011 y_010111 ey_010111 phix_010111 ephix_010111 phiy_010111 ephiy_010111 phiz_010111 ephiz_010111
MB+0_1_12 0 1 12    -0.00253123 0.00523338  -0.0875939 0.0738058   0.055421 0.061132    0.111314 0.0332516  -0.290953 0.313815  -0.316746 0.0404948  1.3128 0.025386  -0.261325 0.0457963    -0.663793 0.0125854  -0.363276 0.0872645    0.11052 0.0332544  -0.512159 0.304197  -0.299056 0.313847  -0.359542 0.0478108    1.31247 0.0253856  0.472112 0.308909  -0.259183 0.0458031    1.35899 0.0371263  -0.496588 0.289283  0.474695 0.308908  -0.260147 0.0458057
MB+1_1_01 1 1 1    0.0310944 0.00629779  0.170572 0.0919446   -0.321782 0.0805031    0.132771 0.0408916  0.685859 0.379637  -0.0673765 0.0507617  -0.597501 0.0351696  -0.389159 0.0624821    1.05654 0.0614857  0.504239 0.104052    0.135917 0.0409699  0.453658 0.368845  0.738833 0.382019  -0.103927 0.0588522    -0.596593 0.0351728  1.46281 0.434712  0.0700965 0.264417    -0.596263 0.0351718  -0.228396 0.0973986  1.38176 0.436068  0.0243874 0.265125
MB+1_1_02 1 1 2    -0.00110692 0.00651672  0.3394 0.10071   -1.32821 0.0861561    0.266348 0.0441364  -1.88884 0.416952  0.101796 0.0527879  -0.564501 0.0381397  -1.22641 0.0680905    -0.431862 0.0648265  0.0813223 0.108363    0.27137 0.0442177  0.727586 0.391455  -1.8177 0.418675  0.0457608 0.0608181    -0.564624 0.0381364  -0.318476 0.469596  -0.290115 0.288155    -0.57057 0.0382078  0.25098 0.100278  -0.233612 0.470798  -0.239394 0.288852
MB+1_1_03 1 1 3    -0.00199595 0.00569893  0.0549059 0.0853835   -0.482362 0.0757691    0.404129 0.0375621  -0.158844 0.352918  -0.26754 0.0459985  1.36763 0.0325714  -0.749902 0.0602088    0.0976021 0.0567516  -0.304136 0.0938218    0.407698 0.0376026  0.704508 0.345956  -0.103807 0.353935  -0.328094 0.0547935    1.36752 0.0325699  1.04577 0.416633  -0.0241967 0.258087    1.34337 0.0327184  0.644486 0.0859256  1.0911 0.416545  0.00241161 0.25803
MB+1_1_04 1 1 4    -0.0401856 0.00780102  0.33058 0.0974313   -1.02166 0.0923498    0.929501 0.0423798  -1.91135 0.394802  -0.130004 0.0635681  0.794871 0.0371325  -1.15167 0.0669894    -0.0115841 0.0828554  -0.867152 0.128204    0.933799 0.042426  1.01384 0.47419  -1.8393 0.396224  -0.216872 0.0754408    0.796123 0.0371297  0.33157 0.565954  0.310879 0.375078    0.786244 0.0371401  0.81879 0.111859  0.507175 0.566247  0.421558 0.37524
MB+1_1_05 1 1 5    -0.0452759 0.00579151  0.232978 0.0850261   -0.967939 0.0756175    1.77801 0.0376051  -1.64736 0.351021  0.0112229 0.0466936  -0.618282 0.0327874  -0.956716 0.0594787    -0.138901 0.0576064  -0.818716 0.0953426    1.78119 0.0376474  0.611555 0.35019  -1.59554 0.352245  -0.041927 0.0557597    -0.617404 0.0327855  -0.112446 0.411368  -0.0327853 0.254684    -0.62448 0.0329293  0.199181 0.0866329  -0.0672612 0.411825  -0.00628808 0.254937
MB+1_1_06 1 1 6    -0.0530721 0.00546725  -0.30536 0.0847125   0.160296 0.0721254    2.66054 0.0359766  -0.540894 0.350834  -0.223758 0.0441433  -0.686464 0.0312141  -0.0634624 0.0570389    -1.23408 0.0544072  -1.19819 0.0901542    2.66883 0.0361237  1.62592 0.332085  -0.398871 0.352829  -0.357646 0.0519451    -0.68682 0.0312138  -1.38224 0.393661  -0.569206 0.243413    -0.691722 0.0313447  0.14104 0.0825282  -1.3286 0.394918  -0.53754 0.244121
MB+1_1_07 1 1 7    -0.0129402 0.00573933  -0.521141 0.105631   1.41684 0.0783759    2.10155 0.0378098  2.40181 0.44095  -0.260639 0.0459768  -0.747254 0.033072  1.1562 0.0634737    0.33202 0.0575296  -0.498497 0.0949506    2.10168 0.037836  0.0360334 0.367846  2.40469 0.441912  -0.263271 0.0529109    -0.747966 0.033068  0.313596 0.433944  -0.0989591 0.268443    -0.762132 0.0332187  0.386069 0.0871951  0.623795 0.439516  0.0861471 0.271649
MB+1_1_08 1 1 8    0.00318038 0.00562599  -0.163187 0.083936   0.313312 0.0731352    1.50608 0.0366419  -0.0364127 0.346774  -0.321736 0.045349  -0.12142 0.0317773  -0.00842397 0.0573778    -0.767161 0.0564796  -0.263316 0.0928621    1.50729 0.0366713  0.275203 0.340126  -0.019542 0.347396  -0.343738 0.0528634    -0.121258 0.0317769  -0.797673 0.402567  -0.469865 0.250636    -0.117434 0.0320177  -0.0817195 0.0840805  -0.817017 0.403093  -0.481687 0.250952
MB+1_1_09 1 1 9    -0.0164396 0.00549825  -0.0454493 0.083021   0.204866 0.07194    1.38124 0.0365658  0.441592 0.34335  -0.179979 0.0442373  0.366724 0.031456  0.0248867 0.0567311    0.435678 0.0546452  -0.481285 0.0905437    1.38302 0.0366127  0.318425 0.329445  0.464307 0.34417  -0.205836 0.0516594    0.366472 0.0314572  0.779123 0.389892  0.227654 0.240995    0.361486 0.031599  0.137499 0.0825392  0.813596 0.390429  0.249174 0.241335
